orden,id,universidad,miembros,banda,contacto_previo,fuente,brazo
206,uba149,UBA,124,grande,si,Grupos,dx-ab-imagen-tratamiento
207,utn028,UTN,411,grande,si,Grupos,dx-ab-imagen-control
208,uba187,UBA,42,chico,no,Grupos,dx-ab-imagen-tratamiento
209,uba030,UBA,81,chico,si,Grupos,dx-ab-imagen-tratamiento
210,uba252,UBA,129,grande,si,Comunidades,dx-ab-imagen-control
211,utn044,UTN,435,grande,si,Grupos,dx-ab-imagen-tratamiento
212,uba257,UBA,74,chico,no,Comunidades,dx-ab-imagen-control
213,uba134,UBA,68,chico,si,Grupos,dx-ab-imagen-control
214,uba212,UBA,743,grande,si,Comunidades,dx-ab-imagen-tratamiento
215,utn053,UTN,173,grande,si,Grupos,dx-ab-imagen-control
216,uba181,UBA,62,chico,no,Grupos,dx-ab-imagen-tratamiento
217,uba006,UBA,61,chico,si,Grupos,dx-ab-imagen-tratamiento
218,uba114,UBA,136,grande,si,Grupos,dx-ab-imagen-control
219,utn054,UTN,190,grande,si,Grupos,dx-ab-imagen-tratamiento
220,uba215,UBA,65,chico,si,Comunidades,dx-ab-imagen-control
221,utn021,UTN,304,grande,si,Grupos,dx-ab-imagen-control
222,uba142,UBA,82,chico,si,Grupos,dx-ab-imagen-tratamiento
223,utn055,UTN,438,grande,si,Grupos,dx-ab-imagen-tratamiento
224,uba019,UBA,55,chico,si,Grupos,dx-ab-imagen-control
225,utn051,UTN,330,grande,si,Grupos,dx-ab-imagen-control
226,uba012,UBA,57,chico,si,Grupos,dx-ab-imagen-tratamiento
227,uba164,UBA,52,chico,si,Grupos,dx-ab-imagen-control
228,uba144,UBA,62,chico,si,Grupos,dx-ab-imagen-tratamiento
229,uba076,UBA,51,chico,si,Grupos,dx-ab-imagen-control
230,uba117,UBA,52,chico,si,Grupos,dx-ab-imagen-tratamiento
231,uba003,UBA,47,chico,si,Grupos,dx-ab-imagen-control
232,uba026,UBA,48,chico,si,Grupos,dx-ab-imagen-tratamiento
233,uba213,UBA,73,chico,si,Comunidades,dx-ab-imagen-control
234,uba115,UBA,81,chico,si,Grupos,dx-ab-imagen-tratamiento
235,uba131,UBA,100,chico,si,Grupos,dx-ab-imagen-control
236,uba110,UBA,57,chico,si,Grupos,dx-ab-imagen-tratamiento
237,uba082,UBA,78,chico,si,Grupos,dx-ab-imagen-control
238,uba007,UBA,52,chico,si,Grupos,dx-ab-imagen-tratamiento
239,uba072,UBA,50,chico,si,Grupos,dx-ab-imagen-control
240,uba141,UBA,67,chico,si,Grupos,dx-ab-imagen-tratamiento
241,uba127,UBA,54,chico,si,Grupos,dx-ab-imagen-control
242,uba111,UBA,61,chico,si,Grupos,dx-ab-imagen-tratamiento
243,uba005,UBA,70,chico,si,Grupos,dx-ab-imagen-control
244,uba165,UBA,74,chico,si,Grupos,dx-ab-imagen-tratamiento
245,uba009,UBA,67,chico,si,Grupos,dx-ab-imagen-control
246,uba118,UBA,68,chico,si,Grupos,dx-ab-imagen-tratamiento
247,uba138,UBA,41,chico,si,Grupos,dx-ab-imagen-control
248,uba071,UBA,66,chico,si,Grupos,dx-ab-imagen-tratamiento
249,uba137,UBA,49,chico,si,Grupos,dx-ab-imagen-control
250,uba129,UBA,68,chico,si,Grupos,dx-ab-imagen-tratamiento
251,uba113,UBA,54,chico,si,Grupos,dx-ab-imagen-control
252,uba080,UBA,49,chico,si,Grupos,dx-ab-imagen-tratamiento
253,uba112,UBA,64,chico,si,Grupos,dx-ab-imagen-control
